year,MINNESOTA WHITE/Predictions
1994,3154
1996,3202
1998,69
2000,3296
2002,3580
2004,3435
2006,3526
2008,3497
2010,3680
2012,3639
2014,3670
2016,3614
2018,3632
2020,3744
2022,4056
2024,4162
2026,4267
2028,4372
2030,4478
