year,LOUISIANA TOTAL/Predictions
1994,3013
1996,3098
1998,3114
2000,3143
2002,3092
2004,3277
2006,3071
2008,3161
2010,3314
2012,3321
2014,3450
2016,3463
2018,3458
2020,3438
2022,3509
2024,3544
2026,3580
2028,3615
2030,3651
