year,DISTRICT OF COLUMBIA MALE/Predictions
1994,204
1996,190
1998,173
2000,191
2002,193
2004,199
2006,193
2008,216
2010,223
2012,240
2014,249
2016,255
2018,264
2020,264
2022,268
2024,275
2026,282
2028,288
2030,295
