year,NEW MEXICO MALE/Predictions
1994,566
1996,590
1998,615
2000,591
2002,643
2004,658
2006,688
2008,720
2010,725
2012,754
2014,739
2016,749
2018,761
2020,784
2022,812
2024,829
2026,846
2028,863
2030,880
