year,VIRGINIA TOTAL/Predictions
1994,4760
1996,4955
1998,4969
2000,5177
2002,5194
2004,5364
2006,5578
2008,5720
2010,5873
2012,6094
2014,6221
2016,6343
2018,6386
2020,6481
2022,6705
2024,6845
2026,6986
2028,7127
2030,7267
