year,CONNECTICUT TOTAL/Predictions
1994,2431
1996,2409
1998,2438
2000,2415
2002,2574
2004,2606
2006,2640
2008,2651
2010,2648
2012,2726
2014,2783
2016,2759
2018,2834
2020,2777
2022,2876
2024,2910
2026,2945
2028,2979
2030,3013
