year,NORTH CAROLINA HISPANIC ORIGIN/Predictions
1994,83
1996,135
1998,1276
2000,255
2002,268
2004,327
2006,418
2008,374
2010,469
2012,603
2014,602
2016,804
2018,588
2020,989
2022,793
2024,831
2026,868
2028,905
2030,943
