year,HAWAII TOTAL/Predictions
1994,833
1996,839
1998,855
2000,855
2002,873
2004,938
2006,967
2008,977
2010,965
2012,1013
2014,1035
2016,1064
2018,1057
2020,1056
2022,1104
2024,1124
2026,1144
2028,1164
2030,1185
