year,OREGON HISPANIC ORIGIN/Predictions
1994,97
1996,111
1998,38
2000,193
2002,189
2004,165
2006,169
2008,261
2010,189
2012,226
2014,322
2016,371
2018,365
2020,281
2022,368
2024,388
2026,409
2028,430
2030,451
