year,RHODE ISLAND FEMALE/Predictions
1994,393
1996,389
1998,392
2000,390
2002,416
2004,428
2006,424
2008,424
2010,425
2012,434
2014,432
2016,432
2018,435
2020,438
2022,448
2024,452
2026,456
2028,460
2030,464
