year,WISCONSIN FEMALE/Predictions
1994,1824
1996,1859
1998,1950
2000,1972
2002,2045
2004,2109
2006,2161
2008,2128
2010,2185
2012,2236
2014,2220
2016,2272
2018,2250
2020,2315
2022,2380
2024,2416
2026,2452
2028,2489
2030,2525
