year,WASHINGTON WHITE/Predictions
1994,3605
1996,3779
1998,182
2000,3890
2002,3926
2004,3792
2006,3964
2008,4146
2010,4366
2012,4301
2014,4238
2016,4628
2018,4663
2020,4735
2022,5036
2024,5192
2026,5347
2028,5502
2030,5657
