year,DELAWARE WHITE/Predictions
1994,422
1996,410
1998,13
2000,443
2002,456
2004,485
2006,496
2008,493
2010,513
2012,521
2014,510
2016,527
2018,540
2020,540
2022,594
2024,613
2026,631
2028,650
2030,668
