year,OREGON WHITE/Predictions
1994,2166
1996,2279
1998,180
2000,2372
2002,2423
2004,2498
2006,2578
2008,2559
2010,2725
2012,2633
2014,2768
2016,2808
2018,2874
2020,2955
2022,3156
2024,3255
2026,3353
2028,3452
2030,3551
