year,MASSACHUSETTS HISPANIC ORIGIN/Predictions
1994,128
1996,161
1998,213
2000,251
2002,315
2004,323
2006,265
2008,286
2010,430
2012,453
2014,462
2016,500
2018,565
2020,636
2022,622
2024,657
2026,693
2028,728
2030,764
