year,INDIANA HISPANIC ORIGIN/Predictions
1994,65
1996,60
1998,313
2000,79
2002,105
2004,182
2006,211
2008,196
2010,195
2012,184
2014,314
2016,224
2018,337
2020,225
2022,297
2024,311
2026,325
2028,339
2030,353
