year,DELAWARE MALE/Predictions
1994,251
1996,256
1998,274
2000,267
2002,272
2004,292
2006,308
2008,308
2010,318
2012,329
2014,337
2016,342
2018,359
2020,361
2022,371
2024,380
2026,389
2028,398
2030,407
