year,SOUTH DAKOTA FEMALE/Predictions
1994,256
1996,266
1998,260
2000,266
2002,294
2004,289
2006,292
2008,299
2010,305
2012,312
2014,317
2016,318
2018,323
2020,329
2022,337
2024,343
2026,348
2028,354
2030,360
