year,PENNSYLVANIA WHITE/Predictions
1994,7914
1996,8070
1998,245
2000,8015
2002,8334
2004,8218
2006,8373
2008,8319
2010,8435
2012,8382
2014,8451
2016,8435
2018,8277
2020,8485
2022,9149
2024,9341
2026,9533
2028,9725
2030,9917
