year,MICHIGAN WHITE/Predictions
1994,5801
1996,5992
1998,196
2000,6156
2002,6359
2004,6163
2006,6129
2008,6200
2010,6141
2012,6103
2014,6164
2016,6264
2018,6257
2020,6269
2022,6756
2024,6893
2026,7030
2028,7167
2030,7305
