year,CALIFORNIA FEMALE/Predictions
1994,11670
1996,11692
1998,12047
2000,12817
2002,12443
2004,13302
2006,13393
2008,13734
2010,13910
2012,14470
2014,14874
2016,15289
2018,15476
2020,15556
2022,16059
2024,16384
2026,16710
2028,17035
2030,17360
