year,MAINE TOTAL/Predictions
1994,909
1996,926
1998,938
2000,979
2002,1042
2004,1022
2006,1034
2008,1020
2010,1034
2012,1042
2014,1061
2016,1058
2018,1074
2020,1087
2022,1108
2024,1121
2026,1133
2028,1145
2030,1158
