year,WYOMING MALE/Predictions
1994,164
1996,169
1998,175
2000,176
2002,179
2004,187
2006,192
2008,199
2010,210
2012,213
2014,223
2016,223
2018,216
2020,217
2022,232
2024,237
2026,242
2028,246
2030,251
