year,UTAH BLACK/Predictions
1994,18
1996,8
1998,1365
2000,4
2002,16
2004,10
2006,15
2008,26
2010,19
2012,23
2014,26
2016,20
2018,31
2020,40
2022,-71
2024,-96
2026,-120
2028,-145
2030,-170
