year,UTAH WHITE/Predictions
1994,1180
1996,1295
1998,86
2000,1414
2002,1446
2004,1561
2006,1637
2008,1761
2010,1811
2012,1780
2014,1919
2016,1955
2018,2080
2020,2096
2022,2289
2024,2384
2026,2479
2028,2575
2030,2670
