year,KANSAS WHITE/Predictions
1994,1644
1996,1655
1998,71
2000,1757
2002,1821
2004,1768
2006,1833
2008,1762
2010,1831
2012,1851
2014,1853
2016,1883
2018,1880
2020,1867
2022,2049
2024,2099
2026,2149
2028,2198
2030,2248
