year,TEXAS FEMALE/Predictions
1994,6723
1996,6888
1998,7389
2000,7454
2002,7783
2004,8146
2006,8474
2008,8861
2010,9105
2012,9596
2014,9941
2016,10397
2018,10790
2020,10972
2022,11305
2024,11646
2026,11986
2028,12327
2030,12668
