year,ALABAMA HISPANIC ORIGIN/Predictions
1994,38
1996,24
1998,835
2000,27
2002,30
2004,39
2006,69
2008,71
2010,142
2012,107
2014,136
2016,117
2018,169
2020,79
2022,87
2024,80
2026,74
2028,68
2030,61
