year,WYOMING WHITE/Predictions
1994,325
1996,339
1998,13
2000,342
2002,356
2004,358
2006,372
2008,377
2010,389
2012,403
2014,407
2016,405
2018,408
2020,410
2022,452
2024,465
2026,479
2028,492
2030,506
