year,IOWA TOTAL/Predictions
1994,2059
1996,2113
1998,2102
2000,2110
2002,2152
2004,2212
2006,2252
2008,2244
2010,2278
2012,2320
2014,2336
2016,2394
2018,2376
2020,2361
2022,2435
2024,2461
2026,2488
2028,2514
2030,2541
