year,ALABAMA BLACK/Predictions
1994,839
1996,768
1998,2379
2000,859
2002,776
2004,799
2006,839
2008,875
2010,868
2012,891
2014,922
2016,962
2018,976
2020,973
2022,857
2024,840
2026,824
2028,808
2030,791
