year,NEBRASKA HISPANIC ORIGIN/Predictions
1994,20
1996,34
1998,30
2000,56
2002,95
2004,119
2006,76
2008,76
2010,101
2012,110
2014,135
2016,109
2018,175
2020,98
2022,151
2024,160
2026,168
2028,176
2030,185
