year,NEW MEXICO WHITE/Predictions
1994,1059
1996,1088
1998,535
2000,1064
2002,1132
2004,1151
2006,1231
2008,1287
2010,1215
2012,1310
2014,1234
2016,1183
2018,1251
2020,1340
2022,1372
2024,1402
2026,1432
2028,1462
2030,1492
