year,NEW HAMPSHIRE FEMALE/Predictions
1994,420
1996,457
1998,452
2000,461
2002,514
2004,503
2006,523
2008,522
2010,526
2012,525
2014,535
2016,535
2018,550
2020,559
2022,575
2024,584
2026,593
2028,603
2030,612
