year,WASHINGTON TOTAL/Predictions
1994,3924
1996,4059
1998,4179
2000,4314
2002,4456
2004,4596
2006,4745
2008,4912
2010,5095
2012,5230
2014,5333
2016,5592
2018,5775
2020,5993
2022,6044
2024,6200
2026,6357
2028,6513
2030,6670
