year,DISTRICT OF COLUMBIA WHITE/Predictions
1994,159
1996,121
1998,17
2000,140
2002,170
2004,179
2006,175
2008,203
2010,220
2012,246
2014,251
2016,264
2018,270
2020,278
2022,303
2024,317
2026,332
2028,347
2030,362
