year,TENNESSEE WHITE/Predictions
1994,3264
1996,3272
1998,20
2000,3489
2002,3619
2004,3655
2006,3775
2008,3849
2010,3869
2012,3925
2014,4014
2016,4014
2018,4156
2020,4212
2022,4563
2024,4703
2026,4843
2028,4984
2030,5124
