year,IDAHO MALE/Predictions
1994,396
1996,409
1998,450
2000,447
2002,457
2004,487
2006,523
2008,538
2010,546
2012,553
2014,585
2016,607
2018,645
2020,679
2022,676
2024,697
2026,717
2028,738
2030,758
