year,ILLINOIS HISPANIC ORIGIN/Predictions
1994,685
1996,597
1998,1179
2000,771
2002,938
2004,1031
2006,1086
2008,1081
2010,1220
2012,1200
2014,1316
2016,1490
2018,1458
2020,1421
2022,1558
2024,1619
2026,1679
2028,1740
2030,1800
