year,NORTH DAKOTA WHITE/Predictions
1994,426
1996,443
1998,1
2000,425
2002,467
2004,443
2006,439
2008,434
2010,433
2012,471
2014,516
2016,520
2018,499
2020,503
2022,543
2024,559
2026,574
2028,589
2030,604
