year,MARYLAND FEMALE/Predictions
1994,2011
1996,1944
1998,2019
2000,1974
2002,2117
2004,2137
2006,2210
2008,2234
2010,2240
2012,2348
2014,2407
2016,2420
2018,2449
2020,2407
2022,2518
2024,2560
2026,2601
2028,2642
2030,2684
