year,VIRGINIA MALE/Predictions
1994,2235
1996,2303
1998,2345
2000,2431
2002,2489
2004,2538
2006,2623
2008,2725
2010,2812
2012,2890
2014,2975
2016,3026
2018,3051
2020,3084
2022,3210
2024,3280
2026,3351
2028,3421
2030,3492
