year,WISCONSIN HISPANIC ORIGIN/Predictions
1994,43
1996,98
1998,187
2000,159
2002,201
2004,203
2006,173
2008,247
2010,181
2012,214
2014,248
2016,329
2018,232
2020,242
2022,296
2024,309
2026,322
2028,336
2030,349
