year,ILLINOIS TOTAL/Predictions
1994,8561
1996,8598
1998,8659
2000,8859
2002,9366
2004,9303
2006,9392
2008,9521
2010,9619
2012,9651
2014,9757
2016,9723
2018,9732
2020,9658
2022,10057
2024,10156
2026,10255
2028,10354
2030,10454
