year,WYOMING BLACK/Predictions
1994,3
1996,2
1998,332
2000,1
2002,3
2004,3
2006,3
2008,5
2010,6
2012,3
2014,11
2016,5
2018,5
2020,2
2022,-19
2024,-25
2026,-31
2028,-38
2030,-44
