year,NEW HAMPSHIRE TOTAL/Predictions
1994,832
1996,862
1998,874
2000,902
2002,991
2004,982
2006,1015
2008,1015
2010,1024
2012,1028
2014,1047
2016,1044
2018,1080
2020,1101
2022,1129
2024,1148
2026,1168
2028,1187
2030,1206
