year,ARKANSAS WHITE/Predictions
1994,1499
1996,1507
1998,16
2000,1540
2002,1629
2004,1649
2006,1714
2008,1733
2010,1740
2012,1788
2014,1763
2016,1822
2018,1833
2020,1867
2022,2028
2024,2088
2026,2147
2028,2207
2030,2267
