year,UNITED STATES/Predictions
1994,190267
1996,193651
1998,198228
2000,202609
2002,210421
2004,215694
2006,220603
2008,225499
2010,229690
2012,235248
2014,239874
2016,245502
2018,249748
2020,252274
2022,259684
2024,264696
2026,269708
2028,274720
2030,279732
