year,NEBRASKA TOTAL/Predictions
1994,1156
1996,1181
1998,1193
2000,1205
2002,1257
2004,1294
2006,1298
2008,1308
2010,1323
2012,1371
2014,1400
2016,1407
2018,1428
2020,1435
2022,1473
2024,1496
2026,1519
2028,1541
2030,1564
