year,OHIO HISPANIC ORIGIN/Predictions
1994,76
1996,76
1998,821
2000,106
2002,180
2004,209
2006,216
2008,212
2010,187
2012,252
2014,192
2016,277
2018,235
2020,383
2022,273
2024,276
2026,280
2028,284
2030,288
