year,MASSACHUSETTS WHITE/Predictions
1994,4179
1996,4187
1998,217
2000,4189
2002,4424
2004,4297
2006,4274
2008,4280
2010,4516
2012,4358
2014,4441
2016,4464
2018,4417
2020,4429
2022,4807
2024,4909
2026,5010
2028,5111
2030,5213
