year,ARIZONA FEMALE/Predictions
1994,1528
1996,1676
1998,1780
2000,1789
2002,1863
2004,2114
2006,2257
2008,2362
2010,2439
2012,2501
2014,2571
2016,2671
2018,2755
2020,2899
2022,3011
2024,3115
2026,3219
2028,3324
2030,3428
