year,NORTH DAKOTA FEMALE/Predictions
1994,224
1996,228
1998,234
2000,228
2002,261
2004,238
2006,246
2008,246
2010,245
2012,265
2014,276
2016,285
2018,274
2020,282
2022,286
2024,291
2026,296
2028,300
2030,305
