year,COLORADO WHITE/Predictions
1994,2417
1996,2692
1998,366
2000,2838
2002,2981
2004,3098
2006,3160
2008,3344
2010,3423
2012,3474
2014,3637
2016,3743
2018,3911
2020,4001
2022,4290
2024,4452
2026,4614
2028,4776
2030,4937
