year,WISCONSIN MALE/Predictions
1994,1815
1996,1877
1998,1840
2000,1912
2002,2073
2004,2017
2006,2041
2008,2084
2010,2105
2012,2115
2014,2136
2016,2193
2018,2186
2020,2223
2022,2274
2024,2304
2026,2335
2028,2366
2030,2397
