year,WISCONSIN TOTAL/Predictions
1994,3638
1996,3736
1998,3790
2000,3884
2002,4119
2004,4126
2006,4202
2008,4212
2010,4291
2012,4352
2014,4356
2016,4465
2018,4436
2020,4538
2022,4655
2024,4722
2026,4788
2028,4855
2030,4922
