year,NEW HAMPSHIRE MALE/Predictions
1994,412
1996,405
1998,422
2000,442
2002,477
2004,479
2006,492
2008,493
2010,498
2012,503
2014,512
2016,509
2018,530
2020,542
2022,554
2024,564
2026,574
2028,584
2030,594
