year,ARKANSAS BLACK/Predictions
1994,275
1996,308
1998,1523
2000,331
2002,296
2004,295
2006,297
2008,308
2010,310
2012,313
2014,307
2016,321
2018,327
2020,336
2022,233
2024,212
2026,190
2028,169
2030,147
