year,INDIANA FEMALE/Predictions
1994,2131
1996,2201
1998,2279
2000,2223
2002,2419
2004,2354
2006,2367
2008,2406
2010,2459
2012,2526
2014,2556
2016,2562
2018,2602
2020,2633
2022,2683
2024,2720
2026,2757
2028,2793
2030,2830
