year,HAWAII HISPANIC ORIGIN/Predictions
1994,14
1996,18
1998,7
2000,29
2002,26
2004,55
2006,52
2008,49
2010,85
2012,81
2014,64
2016,78
2018,82
2020,71
2022,95
2024,101
2026,106
2028,112
2030,118
