year,KANSAS TOTAL/Predictions
1994,1798
1996,1823
1998,1868
2000,1908
2002,2038
2004,1990
2006,2035
2008,2037
2010,2059
2012,2120
2014,2125
2016,2142
2018,2149
2020,2157
2022,2229
2024,2257
2026,2286
2028,2314
2030,2342
