year,MINNESOTA HISPANIC ORIGIN/Predictions
1994,42
1996,82
1998,61
2000,50
2002,106
2004,108
2006,153
2008,128
2010,138
2012,136
2014,183
2016,255
2018,156
2020,209
2022,225
2024,238
2026,251
2028,264
2030,277
