year,WEST VIRGINIA HISPANIC ORIGIN/Predictions
1994,4
1996,3
1998,22
2000,7
2002,8
2004,5
2006,3
2008,9
2010,5
2012,14
2014,18
2016,13
2018,24
2020,23
2022,19
2024,20
2026,21
2028,23
2030,24
