year,CALIFORNIA MALE/Predictions
1994,10969
1996,11179
1998,11649
2000,11932
2002,11962
2004,12783
2006,12925
2008,13259
2010,13470
2012,13887
2014,14156
2016,14604
2018,14767
2020,14786
2022,15385
2024,15699
2026,16014
2028,16329
2030,16644
